日付,製品ID,ロット番号,検査項目,測定値,規格下限,規格上限,合否,不良要因,工程,ライン,検査員,温度,湿度,気圧,機械番号,材料ロット,サプライヤー,製造時間,検査時間,重量,長さ,幅,厚さ,硬度,表面粗さ,色差,光沢度,引張強度,圧縮強度,電気抵抗,熱伝導率,振動試験,落下試験,塩水噴霧,耐熱性,耐寒性,耐薬品性,騒音レベル,消費電力
2025-01-06,P001,L20250106A,寸法検査,10.02,9.95,10.05,合格,,成形,A1,山田,23.5,45,1013,M001,R2025001,サプライヤーA,08:15,08:45,125.3,50.2,30.1,5.02,85,0.8,0.5,92,520,450,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-06,P002,L20250106A,寸法検査,10.08,9.95,10.05,不合格,寸法不良,成形,A1,山田,23.5,45,1013,M001,R2025001,サプライヤーA,08:30,09:00,124.8,50.3,30.0,5.01,84,0.9,0.4,91,515,448,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-06,P003,L20250106A,外観検査,,,,,不合格,傷・汚れ,成形,A1,山田,23.5,45,1013,M001,R2025001,サプライヤーA,08:45,09:15,125.1,50.1,30.2,5.03,86,0.7,0.6,93,525,452,0.003,1.2,合格,合格,168h,250,合格,合格,34,12.3
2025-01-06,P004,L20250106B,電気検査,0.0025,0.001,0.005,合格,,組立,B2,佐藤,24.1,43,1014,M002,R2025002,サプライヤーB,09:00,09:30,126.2,50.0,30.1,5.00,85,0.8,0.5,92,518,449,0.003,1.3,合格,合格,168h,250,合格,合格,35,12.6
2025-01-06,P005,L20250106B,寸法検査,9.93,9.95,10.05,不合格,寸法不良,組立,B2,佐藤,24.1,43,1014,M002,R2025002,サプライヤーB,09:15,09:45,125.8,49.8,30.3,4.98,83,1.0,0.7,90,510,445,0.004,1.1,合格,合格,168h,250,合格,合格,37,13.1
2025-01-06,P006,L20250106B,強度試験,480,500,600,不合格,強度不足,組立,B2,佐藤,24.1,43,1014,M002,R2025002,サプライヤーB,09:30,10:00,124.5,50.4,29.9,5.04,87,0.6,0.4,94,495,440,0.005,1.0,不合格,合格,168h,250,合格,合格,38,13.5
2025-01-06,P007,L20250106C,外観検査,,,,,合格,,検査,C3,鈴木,22.8,48,1012,M003,R2025003,サプライヤーC,09:45,10:15,125.9,50.1,30.0,5.01,85,0.8,0.5,92,522,451,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-06,P008,L20250106C,寸法検査,10.03,9.95,10.05,合格,,検査,C3,鈴木,22.8,48,1012,M003,R2025003,サプライヤーC,10:00,10:30,126.1,50.0,30.2,5.00,84,0.9,0.6,91,519,448,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.7
2025-01-06,P009,L20250106C,電気検査,0.006,0.001,0.005,不合格,電気特性異常,検査,C3,鈴木,22.8,48,1012,M003,R2025003,サプライヤーC,10:15,10:45,125.4,50.2,30.1,5.02,86,0.7,0.5,93,524,453,0.006,1.3,合格,合格,168h,250,合格,合格,34,12.2
2025-01-06,P010,L20250106D,外観検査,,,,,不合格,変色・変形,成形,A1,田中,23.2,46,1013,M001,R2025004,サプライヤーD,10:30,11:00,124.7,50.3,29.8,5.03,85,0.8,0.8,89,516,446,0.003,1.2,合格,合格,168h,250,合格,合格,37,13.0
2025-01-06,P011,L20250106D,寸法検査,10.01,9.95,10.05,合格,,成形,A1,田中,23.2,46,1013,M001,R2025004,サプライヤーD,10:45,11:15,125.6,50.0,30.1,5.01,84,0.9,0.5,92,521,450,0.004,1.1,合格,合格,168h,250,合格,合格,35,12.5
2025-01-06,P012,L20250106D,強度試験,545,500,600,合格,,成形,A1,田中,23.2,46,1013,M001,R2025004,サプライヤーD,11:00,11:30,126.0,50.1,30.0,5.00,86,0.7,0.6,91,540,455,0.003,1.2,合格,合格,168h,250,合格,合格,36,12.8
2025-01-06,P013,L20250106E,外観検査,,,,,不合格,傷・汚れ,組立,B2,山田,24.5,42,1014,M002,R2025005,サプライヤーE,11:15,11:45,125.2,50.2,30.2,5.02,85,0.8,0.5,92,518,448,0.004,1.1,合格,合格,168h,250,合格,合格,35,12.6
2025-01-06,P014,L20250106E,電気検査,0.003,0.001,0.005,合格,,組立,B2,山田,24.5,42,1014,M002,R2025005,サプライヤーE,11:30,12:00,124.9,50.0,30.1,5.01,84,0.9,0.6,90,515,447,0.003,1.2,合格,合格,168h,250,合格,合格,36,12.9
2025-01-06,P015,L20250106E,寸法検査,10.06,9.95,10.05,不合格,寸法不良,組立,B2,山田,24.5,42,1014,M002,R2025005,サプライヤーE,11:45,12:15,125.7,49.9,30.3,4.99,86,0.7,0.4,93,523,452,0.004,1.1,合格,合格,168h,250,合格,合格,34,12.3
2025-01-07,P016,L20250107A,外観検査,,,,,合格,,検査,C3,佐藤,22.5,49,1012,M003,R2025006,サプライヤーA,08:00,08:30,126.3,50.1,30.0,5.00,85,0.8,0.5,92,520,450,0.003,1.2,合格,合格,168h,250,合格,合格,35,12.5
2025-01-07,P017,L20250107A,寸法検査,10.02,9.95,10.05,合格,,検査,C3,佐藤,22.5,49,1012,M003,R2025006,サプライヤーA,08:15,08:45,125.5,50.2,30.1,5.01,84,0.9,0.6,91,517,448,0.004,1.1,合格,合格,168h,250,合格,合格,36,12.8
2025-01-07,P018,L20250107A,強度試験,485,500,600,不合格,強度不足,検査,C3,佐藤,22.5,49,1012,M003,R2025006,サプライヤーA,08:30,09:00,124.8,50.0,30.2,5.02,86,0.7,0.5,93,492,445,0.003,1.0,不合格,合格,168h,250,合格,合格,37,13.1
2025-01-07,P019,L20250107B,電気検査,0.004,0.001,0.005,合格,,成形,A1,鈴木,23.8,44,1013,M001,R2025007,サプライヤーB,08:45,09:15,126.1,50.3,29.9,5.03,85,0.8,0.7,90,522,451,0.004,1.2,合格,合格,168h,250,合格,合格,35,12.4
2025-01-07,P020,L20250107B,外観検査,,,,,不合格,傷・汚れ,成形,A1,鈴木,23.8,44,1013,M001,R2025007,サプライヤーB,09:00,09:30,125.3,50.1,30.1,5.01,84,0.9,0.5,92,519,449,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.7
2025-01-07,P021,L20250107B,寸法検査,10.07,9.95,10.05,不合格,寸法不良,成形,A1,鈴木,23.8,44,1013,M001,R2025007,サプライヤーB,09:15,09:45,124.6,50.0,30.0,5.00,86,0.7,0.6,91,516,447,0.004,1.2,合格,合格,168h,250,合格,合格,34,12.2
2025-01-07,P022,L20250107C,外観検査,,,,,合格,,組立,B2,田中,24.2,43,1014,M002,R2025008,サプライヤーC,09:30,10:00,125.9,50.2,30.2,5.02,85,0.8,0.5,93,524,453,0.003,1.1,合格,合格,168h,250,合格,合格,35,12.6
2025-01-07,P023,L20250107C,強度試験,530,500,600,合格,,組立,B2,田中,24.2,43,1014,M002,R2025008,サプライヤーC,09:45,10:15,126.2,50.1,30.1,5.01,84,0.9,0.4,92,528,450,0.004,1.2,合格,合格,168h,250,合格,合格,36,12.9
2025-01-07,P024,L20250107C,電気検査,0.007,0.001,0.005,不合格,電気特性異常,組立,B2,田中,24.2,43,1014,M002,R2025008,サプライヤーC,10:00,10:30,125.4,50.0,30.3,5.00,86,0.7,0.6,90,521,448,0.007,1.0,合格,合格,168h,250,合格,合格,38,13.3
2025-01-07,P025,L20250107D,寸法検査,10.04,9.95,10.05,合格,,検査,C3,山田,22.9,47,1012,M003,R2025009,サプライヤーD,10:15,10:45,124.7,50.3,29.8,5.03,85,0.8,0.5,91,517,446,0.003,1.1,合格,合格,168h,250,合格,合格,35,12.5
2025-01-07,P026,L20250107D,外観検査,,,,,不合格,変色・変形,検査,C3,山田,22.9,47,1012,M003,R2025009,サプライヤーD,10:30,11:00,126.0,50.1,30.1,5.01,84,0.9,0.7,92,520,449,0.004,1.2,合格,合格,168h,250,合格,合格,36,12.8
2025-01-07,P027,L20250107D,強度試験,510,500,600,合格,,検査,C3,山田,22.9,47,1012,M003,R2025009,サプライヤーD,10:45,11:15,125.6,50.0,30.0,5.00,86,0.7,0.5,93,512,451,0.003,1.1,合格,合格,168h,250,合格,合格,34,12.3
2025-01-07,P028,L20250107E,電気検査,0.002,0.001,0.005,合格,,成形,A1,佐藤,23.5,45,1013,M001,R2025010,サプライヤーE,11:00,11:30,125.2,50.2,30.2,5.02,85,0.8,0.6,90,518,448,0.002,1.2,合格,合格,168h,250,合格,合格,35,12.6
2025-01-07,P029,L20250107E,外観検査,,,,,不合格,傷・汚れ,成形,A1,佐藤,23.5,45,1013,M001,R2025010,サプライヤーE,11:15,11:45,124.9,50.1,30.1,5.01,84,0.9,0.5,92,515,447,0.003,1.1,合格,合格,168h,250,合格,合格,36,12.9
